Scenario,Action,RunID,QueryTarget,LatencyMs,IsSuccess
KT-01,IPFS_Retrieval,44,bafkreianciruuns5v7gnnhtgb5oswotogtvajut4yftxb34pkp63cznipa,1,true
KT-01,IPFS_Retrieval,45,bafkreigmwcxvbd4rysy4ttodc2siw7gkclulzat4kwxwytxxkeflptthlu,0,true
KT-01,IPFS_Retrieval,46,bafkreies7xlwjpx65aycmjajnrxksm3snanjnpqxpxdmjnqnj2lhzjmitm,1,true
KT-01,IPFS_Retrieval,47,bafkreihrccqo2azazslwxmrl44mu3u7odjwbh3654clazaad45kjwca6ty,0,true
KT-01,IPFS_Retrieval,48,bafkreidvl4bcdk64jvm72ehiy33kwbkgehtrbnouwyvjwuecmrokakyglq,1,true
KT-01,IPFS_Retrieval,49,bafkreigmwcxvbd4rysy4ttodc2siw7gkclulzat4kwxwytxxkeflptthlu,1,true
KT-01,IPFS_Retrieval,50,bafkreicvoarek2fdjandtfs7bhezu72pupf73wl7oqbl4meyvm243cqt34,0,true
KT-03,MQTT_Lock_Open,1,smartlock/vinalib/command,56,true
KT-03,MQTT_Status_Update,1,smartlock/vinalib/status,142,true
KT-03,MQTT_Lock_Close,1,smartlock/vinalib/command,29,true
KT-03,MQTT_Lock_Open,2,smartlock/vinalib/command,96,true
KT-03,MQTT_Status_Update,2,smartlock/vinalib/status,65,true
KT-03,MQTT_Lock_Close,2,smartlock/vinalib/command,119,true
KT-03,MQTT_Lock_Open,3,smartlock/vinalib/command,90,true
KT-03,MQTT_Status_Update,3,smartlock/vinalib/status,145,true
KT-03,MQTT_Lock_Close,3,smartlock/vinalib/command,117,true
KT-03,MQTT_Lock_Open,4,smartlock/vinalib/command,96,true
KT-03,MQTT_Status_Update,4,smartlock/vinalib/status,82,true
KT-03,MQTT_Lock_Close,4,smartlock/vinalib/command,117,true
KT-03,MQTT_Lock_Open,5,smartlock/vinalib/command,47,true
KT-03,MQTT_Status_Update,5,smartlock/vinalib/status,89,true
KT-03,MQTT_Lock_Close,5,smartlock/vinalib/command,135,true
KT-03,MQTT_Lock_Open,6,smartlock/vinalib/command,43,true
KT-03,MQTT_Status_Update,6,smartlock/vinalib/status,124,true
KT-03,MQTT_Lock_Close,6,smartlock/vinalib/command,62,true
KT-03,MQTT_Lock_Open,7,smartlock/vinalib/command,140,true
KT-03,MQTT_Status_Update,7,smartlock/vinalib/status,135,true
KT-03,MQTT_Lock_Close,7,smartlock/vinalib/command,91,true
KT-03,MQTT_Lock_Open,8,smartlock/vinalib/command,99,true
KT-03,MQTT_Status_Update,8,smartlock/vinalib/status,131,true
KT-03,MQTT_Lock_Close,8,smartlock/vinalib/command,122,true
KT-03,MQTT_Lock_Open,9,smartlock/vinalib/command,68,true
KT-03,MQTT_Status_Update,9,smartlock/vinalib/status,147,true
KT-03,MQTT_Lock_Close,9,smartlock/vinalib/command,60,true
KT-03,MQTT_Lock_Open,10,smartlock/vinalib/command,76,true
KT-03,MQTT_Status_Update,10,smartlock/vinalib/status,114,true
KT-03,MQTT_Lock_Close,10,smartlock/vinalib/command,69,true
KT-03,MQTT_Lock_Open,11,smartlock/vinalib/command,41,true
KT-03,MQTT_Status_Update,11,smartlock/vinalib/status,33,true
KT-03,MQTT_Lock_Close,11,smartlock/vinalib/command,52,true
KT-03,MQTT_Lock_Open,12,smartlock/vinalib/command,56,true
KT-03,MQTT_Status_Update,12,smartlock/vinalib/status,31,true
KT-03,MQTT_Lock_Close,12,smartlock/vinalib/command,92,true
KT-03,MQTT_Lock_Open,13,smartlock/vinalib/command,60,true
KT-03,MQTT_Status_Update,13,smartlock/vinalib/status,142,true
KT-03,MQTT_Lock_Close,13,smartlock/vinalib/command,85,true
KT-03,MQTT_Lock_Open,14,smartlock/vinalib/command,49,true
KT-03,MQTT_Status_Update,14,smartlock/vinalib/status,61,true
KT-03,MQTT_Lock_Close,14,smartlock/vinalib/command,86,true
KT-03,MQTT_Lock_Open,15,smartlock/vinalib/command,110,true
KT-03,MQTT_Status_Update,15,smartlock/vinalib/status,62,true
KT-03,MQTT_Lock_Close,15,smartlock/vinalib/command,66,true
KT-03,MQTT_Lock_Open,16,smartlock/vinalib/command,79,true
KT-03,MQTT_Status_Update,16,smartlock/vinalib/status,124,true
KT-03,MQTT_Lock_Close,16,smartlock/vinalib/command,129,true
KT-03,MQTT_Lock_Open,17,smartlock/vinalib/command,146,true
KT-03,MQTT_Status_Update,17,smartlock/vinalib/status,24,true
KT-03,MQTT_Lock_Close,17,smartlock/vinalib/command,107,true
KT-03,MQTT_Lock_Open,18,smartlock/vinalib/command,116,true
KT-03,MQTT_Status_Update,18,smartlock/vinalib/status,34,true
KT-03,MQTT_Lock_Close,18,smartlock/vinalib/command,80,true
KT-03,MQTT_Lock_Open,19,smartlock/vinalib/command,78,true
KT-03,MQTT_Status_Update,19,smartlock/vinalib/status,23,true
KT-03,MQTT_Lock_Close,19,smartlock/vinalib/command,20,true
KT-03,MQTT_Lock_Open,20,smartlock/vinalib/command,105,true
KT-03,MQTT_Status_Update,20,smartlock/vinalib/status,91,true
KT-03,MQTT_Lock_Close,20,smartlock/vinalib/command,66,true
